TWEETID		DATE	TWEET	USERID	ACTIVIT0 (0/1/0)	ACTIVITY	POS tag	CORRECT			
20291439582	vanavond	2010-08-04 09:16:00	Vandaag is dag deze tijdstip dat ik in de efteling liep,vanavond om 10uur, 1 maand van elkaar gescheiden ! Veel pijn & verdriet :'( mis je!	133698387	1						
20291441884	vanavond	2010-08-04 09:16:00	Het menu voor vanavond: Mix van allerlei soorten pasta met aardbeiensoep toe :) #nomnomnom	29203852	1						
20291450128	vanavond	2010-08-04 09:16:00	@Pleunxxxx Vanavond kan ik denk ik niet.. Ga morgenochtend op vakantie =P	110921832	1						
20291457650	vanavond	2010-08-04 09:16:00	Het is weer Woensdag dus vanavond weer Live bij Zuiderzee FM..	91975115	1						
20291457865	vanavond	2010-08-04 09:16:00	@RBDJANWSM Only one thing that really works, en dat is: --&gt; Slapen tot je vanavond weer wakker word!	51794008	0	wakker word	ADJ(vrij,basis,zonder) WW(pv,tgw,ev)	1			
20293296335	vanavond	2010-08-04 10:00:00	Vanavond op de buis: ... Check aanvangstijden op http://mrmovie.nl	6614062	1						
20293312749	vanavond	2010-08-04 10:00:00	haha ik vond gisteren wel gezellig met mijn biertjes & de mensen. (: VANAVOND MIDWEEK.	122025453	1						
20293343547	vanavond	2010-08-04 10:00:00	Vanavond hardlopen, ben benieuwd of dat wat gaat worden. Spierpijn!	77718638	0	 hardlopen	[u'N(soort,mv,basis)']	1			
20293368260	vanavond	2010-08-04 10:01:00	@Vincentraal Goed geregeld, ze nemen alles van je over! Moet je nog zelf koken vanavond?	6569472	1						
20293387528	vanavond	2010-08-04 10:01:00	NU naar museum met broertjes,(wie wilt mee?) en vanavond skatenight :)	98188945	1						
20295973251	vanavond	2010-08-04 11:00:00	@afkejansen Volgens mijn info is er vanavond geen meeting.	136381337	1						
20295986077	vanavond	2010-08-04 11:00:00	RT @Ooyenn: Visitekaartjes zijn in de bestelling :) (via @easysmsscreen) |geef je visitekaartje vanavond maar af E.T	115134159	1						
20295988968	vanavond	2010-08-04 11:00:00	kut regen! vanavond trainen, hopen dat het dan droog is.	113051778	0	 trainen	[u'WW(inf,vrij,zonder)']	1			
20296000629	vanavond	2010-08-04 11:00:00	@julia31naomi Ja echt druk aan het werk...maar vanavond een date en vrijdag?	174425619	0	date vrijdag	N(soort,ev,basis,zijd,stan) SPEC(deeleigen)	0.25			
20296013632	vanavond	2010-08-04 11:00:00	Zo, 90 km gefietst en oma bezocht. Nu mail bijwerken, straks boodschappen en koken voor vrienden en vanavond verhuizen. Actief dagje dus...	36361460	0	vrienden verhuizen	N(soort,mv,basis) WW(inf,vrij,zonder)	0.25			
20299002581	vanavond	2010-08-04 12:00:00	Vanavond goede verzoekjes avond. Vraag de leukste en gezelligste plaatjes aan bij jou favoriete bar vrouw/man	24786772	1						
