MODE	GAMMA	C	NGRAM	BOW	F1 AVG	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	Round 7	Round 8	Round 9	Round 10
nb token posneg	N.A.	N.A.	[1]	50	0.602	0.6543	0.6667	0.5522	0.5674	0.6316	0.5037	0.6812	0.5649	0.5735	0.625
nb token posneg	N.A.	N.A.	[1]	74	0.6363	0.6282	0.6577	0.6074	0.6389	0.6667	0.5775	0.7	0.6074	0.6074	0.672
nb token posneg	N.A.	N.A.	[1]	100	0.6503	0.6581	0.6928	0.6364	0.6667	0.6792	0.5915	0.6957	0.5865	0.6667	0.6299
nb token posneg	N.A.	N.A.	[1]	124	0.6577	0.6316	0.7105	0.6418	0.6846	0.6879	0.5986	0.6901	0.6087	0.6667	0.6562
nb token posneg	N.A.	N.A.	[1]	150	0.6687	0.6447	0.732	0.6667	0.6974	0.7051	0.6122	0.7083	0.6324	0.6324	0.656
nb token posneg	N.A.	N.A.	[1]	174	0.6723	0.6447	0.7226	0.6861	0.7226	0.7006	0.5931	0.6906	0.6269	0.6857	0.6504
nb token posneg	N.A.	N.A.	[1]	200	0.6737	0.6536	0.719	0.6912	0.702	0.6918	0.6056	0.7	0.6618	0.6618	0.6508
nb token posneg	N.A.	N.A.	[1, 2]	50	0.6741	0.6988	0.7205	0.6099	0.6623	0.7468	0.6241	0.7027	0.6525	0.6269	0.697
nb token posneg	N.A.	N.A.	[1, 2]	74	0.6644	0.6624	0.6933	0.6176	0.6621	0.7134	0.6429	0.6525	0.6763	0.6522	0.6719
nb token posneg	N.A.	N.A.	[1, 2]	100	0.6815	0.7044	0.7389	0.6619	0.7152	0.7097	0.6338	0.6806	0.6667	0.6423	0.6614
nb token posneg	N.A.	N.A.	[1, 2]	124	0.6769	0.6792	0.7027	0.6571	0.7114	0.6974	0.6389	0.7075	0.637	0.6714	0.6667
nb token posneg	N.A.	N.A.	[1, 2]	150	0.6863	0.6795	0.7152	0.6667	0.6933	0.72	0.6389	0.6849	0.6667	0.7	0.6977
nb token posneg	N.A.	N.A.	[1, 2]	174	0.6955	0.6928	0.7237	0.6714	0.7273	0.7105	0.6286	0.6986	0.6866	0.7015	0.7143
nb token posneg	N.A.	N.A.	[1, 2]	200	0.6996	0.6842	0.719	0.6957	0.7152	0.7237	0.6131	0.7183	0.6857	0.697	0.7442
nb token posneg	N.A.	N.A.	[1, 2, 3]	50	0.6789	0.6708	0.7531	0.6573	0.649	0.7296	0.6475	0.7211	0.6338	0.6187	0.7077
nb token posneg	N.A.	N.A.	[1, 2, 3]	74	0.6698	0.6452	0.72	0.6222	0.6667	0.7143	0.6522	0.6853	0.6815	0.6331	0.6772
nb token posneg	N.A.	N.A.	[1, 2, 3]	100	0.6763	0.6962	0.7722	0.6618	0.6755	0.7097	0.6232	0.6849	0.6299	0.6212	0.688
nb token posneg	N.A.	N.A.	[1, 2, 3]	124	0.6746	0.6538	0.7517	0.6618	0.7027	0.68	0.6331	0.6939	0.6142	0.6615	0.6935
nb token posneg	N.A.	N.A.	[1, 2, 3]	150	0.69	0.6667	0.7248	0.6667	0.7368	0.7237	0.6377	0.7075	0.6667	0.6818	0.688
nb token posneg	N.A.	N.A.	[1, 2, 3]	174	0.6893	0.6622	0.7451	0.6618	0.7237	0.7368	0.6074	0.7034	0.6615	0.687	0.704
nb token posneg	N.A.	N.A.	[1, 2, 3]	200	0.6899	0.6711	0.7368	0.6812	0.6892	0.7613	0.597	0.6806	0.6866	0.687	0.7087
nb token posneg	N.A.	N.A.	[2, 3]	50	0.5716	0.6143	0.6015	0.512	0.5414	0.5612	0.5238	0.6222	0.6142	0.5185	0.6071
nb token posneg	N.A.	N.A.	[2, 3]	74	0.6045	0.6154	0.6277	0.496	0.5606	0.6143	0.5312	0.6853	0.6667	0.5812	0.6667
nb token posneg	N.A.	N.A.	[2, 3]	100	0.624	0.6351	0.6763	0.5385	0.5821	0.6438	0.5714	0.6761	0.6818	0.5862	0.6491
nb token posneg	N.A.	N.A.	[2, 3]	124	0.6378	0.6711	0.6714	0.5692	0.6331	0.6358	0.6131	0.6986	0.6957	0.5882	0.6018
nb token posneg	N.A.	N.A.	[2, 3]	150	0.6466	0.6757	0.6761	0.5538	0.6571	0.6623	0.6154	0.6892	0.6957	0.6032	0.6379
nb token posneg	N.A.	N.A.	[2, 3]	174	0.6531	0.6443	0.7114	0.5426	0.6621	0.6667	0.6345	0.698	0.7324	0.5785	0.661
nb token posneg	N.A.	N.A.	[2, 3]	200	0.6753	0.6667	0.72	0.5736	0.6803	0.6835	0.6667	0.7368	0.7536	0.6	0.6721
nb token pos1	N.A.	N.A.	[1]	50	0.4418	0.5103	0.4179	0.4915	0.5161	0.4375	0.375	0.4762	0.381	0.3333	0.4786
nb token pos1	N.A.	N.A.	[1]	74	0.4464	0.507	0.4296	0.5085	0.4839	0.4409	0.4062	0.45	0.3939	0.368	0.4754
nb token pos1	N.A.	N.A.	[1]	100	0.4379	0.4559	0.4341	0.5128	0.4677	0.4355	0.4194	0.4174	0.4286	0.35	0.4576
nb token pos1	N.A.	N.A.	[1]	124	0.4694	0.4615	0.4697	0.5	0.5238	0.4444	0.4444	0.5	0.4234	0.4032	0.5238
nb token pos1	N.A.	N.A.	[1]	150	0.4792	0.469	0.4593	0.5203	0.5344	0.4724	0.4242	0.5085	0.4444	0.4252	0.5344
nb token pos1	N.A.	N.A.	[1]	174	0.4843	0.5068	0.4638	0.5323	0.5191	0.4844	0.4328	0.4878	0.438	0.4228	0.5556
nb token pos1	N.A.	N.A.	[1]	200	0.4768	0.4932	0.4783	0.5124	0.5191	0.4844	0.4	0.5161	0.4275	0.3898	0.5469
nb token pos1	N.A.	N.A.	[1, 2]	50	0.4891	0.5535	0.4604	0.5185	0.5072	0.5036	0.4604	0.5634	0.4348	0.3582	0.5312
nb token pos1	N.A.	N.A.	[1, 2]	74	0.4706	0.4898	0.4615	0.4348	0.4741	0.4928	0.4507	0.5401	0.4354	0.3704	0.5564
nb token pos1	N.A.	N.A.	[1, 2]	100	0.4666	0.4595	0.4889	0.4211	0.5	0.5106	0.4493	0.4776	0.4748	0.3881	0.4961
nb token pos1	N.A.	N.A.	[1, 2]	124	0.4686	0.4698	0.4741	0.4412	0.5037	0.5517	0.4626	0.458	0.4638	0.3759	0.4853
nb token pos1	N.A.	N.A.	[1, 2]	150	0.4778	0.5033	0.5072	0.4672	0.4627	0.5324	0.4706	0.4783	0.4932	0.3704	0.4925
nb token pos1	N.A.	N.A.	[1, 2]	174	0.4922	0.5306	0.5352	0.4885	0.4885	0.518	0.4564	0.5037	0.4966	0.3971	0.5075
nb token pos1	N.A.	N.A.	[1, 2]	200	0.4851	0.4755	0.5106	0.4848	0.4844	0.5493	0.4755	0.4776	0.4966	0.3852	0.5113
nb token pos1	N.A.	N.A.	[1, 2, 3]	50	0.4835	0.5366	0.4444	0.4962	0.493	0.4932	0.4366	0.5772	0.4286	0.3741	0.5547
